"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","4.826","4.826","7.911","13.197","90","0.949","1.145","1","14.761","85.761","174.232","24.731","13.197","175.307","23.194","11.087"
"1","4.918","4.733","6.166","11.203","-90","1.777","1.821","0.962","15.088","89.265","87","181.378","11.203","85.743","183.673","10.94"
"2","5.426","4.735","6.275","10.992","-4.97","0.996","0.654","0.873","15.148","86.448","81.803","23.618","10.992","80.516","25.623","10.428"
"3","4.903","4.769","6.225","12.089","2.862","0.45","0.33","0.973","15.622","90.893","179.522","178.965","12.089","180.408","181.238","11.676"
