"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","4.826","4.733","6.278","11.03","-90","0.784","0.681","0.981","13.917","81.787","83.196","39.672","11.03","81.181","39.801","10.627"
"1","4.826","4.733","6.156","11.215","-90","1.016","1.137","0.981","14.821","87.449","86.073","195.578","11.215","84.848","197.808","10.948"
"2","4.826","4.733","6.232","12.139","-90","0.665","0.476","0.981","15.106","87.995","178.781","193.815","12.139","179.504","196.176","11.74"
"3","5.475","4.918","8.087","13.389","0","1.229","1.704","0.898","18.835","104.047","174.791","39.672","13.389","176.179","38.134","10.814"
