"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","4.733","4.454","6.208","10.971","-90","0.395","0.432","0.941","12.581","74.225","83.656","22.318","10.971","81.76","22.275","10.64"
"1","5.112","4.974","6.166","11.197","81.469","0.853","0.965","0.973","16.31","95.015","84.955","177.937","11.197","83.844","180.192","10.843"
"2","5.104","4.825","6.274","12.127","0","1.352","1.11","0.945","16.99","97.526","177.612","177.009","12.127","178.743","179.333","11.604"
"3","5.289","4.825","7.843","13.1","0","0.446","0.562","0.912","17.662","98.645","176.916","22.689","13.1","176.674","21.285","10.838"
