"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","4.982","4.739","6.168","10.876","-5.194","0.897","0.456","0.951","14.709","85.042","82.175","23.246","10.876","80.766","25.251","10.49"
"1","4.918","4.918","6.262","12.129","0","0.713","0.926","1","15.751","92.216","177.295","179.8","12.129","178.124","182.175","11.71"
"2","5.449","4.909","7.996","13.262","4.764","0.789","1.069","0.901","17.043","96.029","174.325","25.659","13.262","175.709","24.104","10.889"
"3","5.29","4.918","6.205","11.236","0","1.3","1.581","0.93","17.689","99.77","84.495","181.007","11.236","83.256","183.261","10.647"
