"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","4.826","4.733","6.274","11.549","0","0.542","0.353","0.981","12.867","74.966","176.558","24.546","11.549","175.561","22.955","11.091"
"1","4.695","4.659","6.354","11.078","86.82","1.025","0.716","0.992","13.59","79.591","82.456","22.876","11.078","80.961","24.858","10.582"
"2","4.989","4.806","6.165","11.189","80.538","0.736","1.072","0.963","15.545","90.853","85.889","180.549","11.189","84.879","182.801","10.853"
"3","5.468","4.847","6.163","12.04","4.086","0.464","0.449","0.886","17.681","98.943","178.785","178.693","12.04","179.841","181.034","11.467"
