"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","4.64","4.547","6.319","11.055","-90","0.778","0.479","0.98","13.805","81.195","81.248","23.525","11.055","79.775","25.638","10.617"
"1","4.826","4.733","6.167","12.048","0","0.333","0.291","0.981","14.4","84.59","178.783","178.69","12.048","179.615","181.008","11.746"
"2","5.034","4.974","6.199","11.219","81.469","1.429","1.738","0.988","15.976","92.689","84.31","181.196","11.219","84.978","183.519","10.82"
"3","5.302","4.894","6.514","11.795","2.862","0.259","0.466","0.923","16.122","90.002","175.256","24.36","11.795","174.586","22.919","10.856"
