"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","4.825","4.64","6.236","10.946","-90","0.55","0.39","0.962","13.313","78.609","81.987","20.369","10.946","82.583","22.714","10.635"
"1","4.918","4.733","6.183","11.184","-90","0.614","0.959","0.962","14.002","83.415","85.606","181.744","11.184","84.876","180.66","10.954"
"2","4.825","4.64","6.264","11.497","-90","1.11","0.868","0.962","14.123","82.591","176.084","19.441","11.497","177.013","21.708","11.091"
"3","5.011","4.825","6.225","12.065","0","0.712","0.602","0.963","17.335","99.563","178.775","177.29","12.065","179.66","179.729","11.59"
