"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","4.826","4.64","6.122","11.398","-90","0.144","0.141","0.962","12.436","72.562","173.214","24.5","11.398","175.042","22.377","11.103"
"1","4.835","4.756","6.231","11","84.56","0.807","0.656","0.984","14.305","83.345","82.454","24.36","11","80.4","24.426","10.566"
"2","5.029","4.796","6.152","11.193","82.405","0.855","1.38","0.954","15.924","93.376","86.073","180.174","11.193","84.67","182.361","10.882"
"3","4.826","4.826","6.176","12.059","0","0.369","0.327","1","16.363","94.353","180.081","181.659","12.059","179.446","180.42","11.65"
