"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","5.36","4.875","6.216","10.739","75.964","0.613","0.61","0.91","16.57","96.721","83.85","20.85","10.739","83.716","23.494","10.371"
"1","5.2","5","6.156","10.948","-90","0.73","0.789","0.962","16.61","98.115","85.55","188.85","10.948","84.128","190.394","10.708"
"2","5.2","5.1","6.182","11.159","-90","0.448","0.211","0.981","18.48","106.961","178.05","24.85","11.159","178.435","23.635","10.773"
"3","5.5","5.1","6.208","11.772","0","1.443","1.274","0.927","19.42","108.579","177.95","187.85","11.772","179.074","190.358","11.163"
