"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","4.826","4.826","6.303","11.581","0","0.478","0.176","1","13.366","77.973","176.649","24.268","11.581","175.512","23.041","11.105"
"1","5.29","4.64","6.247","10.993","0","0.97","0.72","0.877","15.407","88.131","82.826","24.639","10.993","80.855","24.521","10.442"
"2","4.984","4.891","6.171","11.197","83.991","0.609","1.046","0.981","15.433","90.618","85.425","180.269","11.197","84.271","182.521","10.874"
"3","5.29","4.733","6.235","12.1","0","0.773","0.686","0.895","18.146","101.589","178.041","178.784","12.1","179.251","181.068","11.458"
