"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","4.733","4.547","6.14","10.912","-90","0.515","0.454","0.961","13.141","77.405","84.307","22.504","10.912","82.441","22.725","10.64"
"1","4.826","4.733","6.26","11.513","-90","1.026","0.812","0.981","13.692","79.962","176.363","19.256","11.513","176.971","21.478","11.102"
"2","5.089","4.977","6.172","11.205","-7.431","1.147","1.485","0.978","15.94","92.096","86.163","178.498","11.205","84.913","180.62","10.804"
"3","5.104","4.826","6.262","12.142","0","1.071","0.959","0.945","15.992","93.003","177.755","181.653","12.142","179.702","179.605","11.692"
