"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","4.919","4.64","6.177","11.19","-90","0.558","0.828","0.943","13.616","81.505","85.981","180.639","11.19","84.954","182.981","10.992"
"1","4.733","4.733","6.251","10.974","90","0.999","0.599","1","14.71","85.63","81.434","23.061","10.974","79.866","25","10.547"
"2","4.826","4.733","6.191","12.058","-90","0.465","0.353","0.981","14.839","86.583","177.577","182.495","12.058","179.498","180.572","11.71"
"3","5.487","4.952","7.445","12.726","4.97","0.25","0.205","0.903","16.062","89.185","175.257","23.897","12.726","174.851","22.504","10.826"
