"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","4.733","4.733","6.214","12.078","0","0.457","0.419","1","13.132","77.395","179.146","178.032","12.078","180.096","180.357","11.758"
"1","4.918","4.733","6.175","11.2","-90","0.731","0.977","0.962","14.355","85.476","86.812","178.589","11.2","85.547","180.783","10.963"
"2","5.104","4.733","6.157","10.878","0","0.313","0.483","0.927","14.682","84.001","83.193","20.555","10.878","84.096","22.679","10.461"
"3","5.511","4.94","7.604","12.888","5.194","0.341","0.376","0.896","17.085","94.85","179.517","23.71","12.888","179.189","22.231","10.827"
