"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","4.734","4.641","6.21","11.53","-90","1.078","0.865","0.98","11.199","65.682","177.976","24.457","11.53","179.699","22.262","11.189"
"1","4.734","4.641","6.189","10.969","-90","0.639","0.888","0.98","13.724","80.42","87.016","22.508","10.969","85.153","22.456","10.618"
"2","4.919","4.826","6.221","12.067","0","0.483","0.43","0.981","14.956","87.658","178.44","181.967","12.067","180.59","180.319","11.711"
"3","5.291","4.919","6.157","11.167","0","0.498","0.798","0.93","18.677","104.856","87.201","178.254","11.167","85.761","180.397","10.621"
