"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","5.011","4.826","7.406","12.689","0","0.432","0.621","0.963","14.261","82.233","178.78","23.71","12.689","178.192","22.095","11.042"
"1","5.104","4.733","6.227","12.08","0","0.462","0.323","0.927","15.088","87.7","177.759","177.945","12.08","178.71","180.215","11.672"
"2","5.382","4.733","6.17","10.93","0","0.553","0.373","0.879","15.975","89.815","85.33","22.504","10.93","83.273","22.193","10.368"
"3","5.197","4.826","6.166","11.173","0","0.813","0.819","0.929","15.984","93.582","85.144","178.037","11.173","83.937","180.243","10.851"
