"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","4.826","4.64","6.209","12.064","-90","0.542","0.539","0.962","13.245","77.797","179.243","177.48","12.064","179.989","179.853","11.721"
"1","4.733","4.64","6.233","10.963","-90","0.848","0.684","0.98","13.495","79.343","83.474","20.834","10.963","82.674","23.07","10.613"
"2","5.217","4.945","6.154","11.157","-7.431","0.143","0.568","0.948","15.415","89.981","86.443","178.779","11.157","85.315","181.067","10.817"
"3","5.29","4.733","6.256","11.5","0","0.781","0.569","0.895","16.604","94.473","175.809","19.72","11.5","177.38","21.821","10.942"
