"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","5.094","4.917","6.218","10.967","-4.764","0.646","0.537","0.965","15.545","88.359","82.64","21.298","10.967","81.003","23.374","10.426"
"1","5.191","4.873","6.244","11.25","82.235","1.8","1.844","0.939","16.062","94.336","85.702","179.247","11.25","84.262","181.396","10.865"
"2","5.29","4.826","6.196","12.046","0","0.959","0.976","0.912","17.302","98.821","177.762","177.855","12.046","179.174","179.988","11.56"
"3","5.475","4.826","7.709","12.98","0","1.149","1.304","0.881","18.258","98.466","176.37","23.432","12.98","176.209","21.992","10.659"
