"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","5.382","5.29","6.217","11.103","0","1.228","1.047","0.983","21.392","119.041","87.836","11.647","11.103","86.347","13.97","10.444"
"1","5.939","5.29","6.479","11.997","0","0.193","0.518","0.891","22.822","121.686","178.689","170.522","11.997","180.203","172.894","10.83"
"2","5.846","5.29","6.211","11.243","0","1.341","0.906","0.905","23.321","125.472","179.617","12.389","11.243","181.139","14.756","10.429"
"3","6.032","5.382","6.155","11.222","0","1.266","1.777","0.892","25.027","129.549","87.001","169.687","11.222","85.388","172.01","10.216"
