"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","5.011","4.826","6.363","11.65","0","0.971","0.7","0.963","13.847","80.027","179.704","24.267","11.65","178.873","22.6","11.058"
"1","4.889","4.85","6.245","11.013","83.418","0.742","0.595","0.992","14.726","85.195","86.07","22.318","11.013","84.095","22.041","10.53"
"2","5.011","4.826","6.254","12.11","0","0.805","0.69","0.963","15.923","92.563","177.384","178.404","12.11","178.305","180.737","11.664"
"3","5.382","4.918","6.207","11.218","0","0.844","1.063","0.914","17.938","101.29","84.493","177.848","11.218","83.382","180.091","10.641"
