"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","4.733","4.547","6.378","11.109","-90","0.899","0.47","0.961","12.746","75.34","83.567","22.69","11.109","82.156","24.923","10.647"
"1","4.918","4.733","6.169","11.206","-90","1.152","1.457","0.962","14.322","85.041","85.377","180.544","11.206","84.293","182.853","10.954"
"2","5.011","4.918","7.391","12.666","0","0.743","0.558","0.981","14.391","83.703","177.389","25.288","12.666","176.697","23.857","11.082"
"3","5.465","4.92","6.246","12.121","3.576","0.955","1.056","0.9","19.317","107.729","178.41","179.523","12.121","179.209","181.932","11.443"
