"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","4.825","4.825","6.191","11.229","90","0.904","1.329","1","14.312","84.904","85.977","178.589","11.229","84.815","180.847","10.951"
"1","5.011","4.733","6.126","10.895","0","0.479","0.347","0.944","14.622","84.062","83.286","22.875","10.895","81.283","22.807","10.491"
"2","5.104","4.825","6.184","12.046","0","1.183","0.986","0.945","17.231","98.993","178.961","176.919","12.046","179.624","179.275","11.615"
"3","5.568","4.918","7.661","12.923","0","0.277","0.379","0.883","18.919","102.364","176.548","22.596","12.923","176.441","21.224","10.668"
