"Index","Length","Width","Local Height","Ref. Height","Orientation","Local Tilt","Ref. Tilt","Aspect Ratio","Area","Volume","Top X","Top Y","Top Z","Avg X","Avg Y","Avg Z"
"0","4.826","4.733","6.792","12.063","-90","0.608","0.329","0.981","11.764","69.2","177.944","23.432","12.063","177.153","21.856","11.146"
"1","4.64","4.64","6.177","10.923","90","0.75","0.416","1","13.271","78.075","84.03","20.184","10.923","82.609","22.229","10.623"
"2","5.29","4.826","6.174","11.168","0","1.126","1.285","0.912","17.094","98.259","84.123","177.944","11.168","83.239","180.161","10.732"
"3","5.507","4.886","6.294","12.141","5.906","0.76","0.805","0.887","18.214","101.374","177.201","177.665","12.141","178.419","179.971","11.411"
